EAN;SKU PRINCIPAL;TÍTULO;PREÇO_ATUAL
7896664697693;18371;Centrifuga De Roupas Mueller 12,6 Kg Fit Preto - 127V;505.36
7896664602574;15432;Centrífuga de Roupas Mueller Dry 2,9kg Branca ¿ 127 Volts;0.0
7896664602574;15432;Centrífuga de Roupas Mueller Dry 2,9kg Branca ¿ 127 Volts;424.99
7896664602604;15433;Centrífuga Mueller Dry 8,8Kg Preta 127 Volt;429.03
3016661157516;18004;Churrasqueira Elétrica Arno Mais Sabor E Pouca Fumaça Gpra, Inox E Preta;329.77
7898461974250;20965;Climatizador de Ar Ventisol Clin35Pro 35 Litros 150W Branco/Cinza, 110V;859.13
7898461974267;20966;Climatizador de Ar Ventisol Clin 60 Pro, 60 Litros, 150W, Branco/Cinza, 110V;966.66
7899831333110;20716;Climatizador De Ar Wap Air Fresh 4 Em 1 127v;0.0
7899831333110;20716;Climatizador De Ar Wap Air Fresh 4 Em 1 127v;459.99
7893455018033;19692;Cômoda 3 Gavetas 2 Portas Madeirada Carraro;424.46
7893455121757;20048;Cômoda 6 Gavetas Com Espelho Quarto 1160 Carraro Avelã;851.05
7893455028223;20854;Cômoda De Quarto 1112 Com 2 Portas E 3 Gavetas Branco - Carraro;425.52
7893455107737;19251;Cômoda De Quarto 1160 C/ 6 Gavetas C/ Espelho Freijo - Carraro;851.05
7893455118474;19303;Conjunto De Mesa Torres 4 Cadeiras;744.67
7909569456149;20611;Conjunto De Potes De Vidro Herméticos Electrolux 4Un;105.31
7909569365786;20612;Conjunto de Potes Electrolux Hermético Vidro Tampa Bambu 4 Peças;138.28
7909569359761;20615;Conjunto de Potes Herméticos Electrolux Bambu, Tampa de Bambu, 2 Peças;159.56
7909569410646;20640;Conjunto de Potes Herméticos Electrolux Quadrado, Cinza, 8 Peças;84.04
7896584066630;20610;Conjunto de Potes Quadrados Electrolux de Plástico com Tampa Hermética 4 Peças;53.18
7896347160155;20614;Conjunto de Potes Redondos Electrolux de Plástico Containers com Tampa Hermética 4 Peças;62.76
7899081746128;16872;Conservador Freezer Horizontal 305L Dupla Ação 110V;0.0
7899081746128;16872;Conservador Freezer Horizontal 305L Dupla Ação 110V;2899.99
7898578152312;19926;Crepeira Mondial 850W Preto Inox Cp-01 110V;191.47
7896075026716;19815;Cuscuzeira Rochedo Duratta Polida 18Cm;52.02
7899882304459;18724;DVD Vídeo Mondial Player D20, Karaokê com Pontuação, USB, Bivolt;59.51
7896020651024;20837;Escada Mor Alumínio 4 Degraus uso Doméstico;0.0
7896020651024;20837;Escada Mor Alumínio 4 Degraus uso Doméstico;159.99
7896020651048;20839;Escada Mor Alumínio 6 Degraus Uso Doméstico;0.0
7896020651048;20839;Escada Mor Alumínio 6 Degraus Uso Doméstico;239.99
7896020651031;20838;Escada Mor de Alumínio 5 Degraus, Uso Doméstico;0.0
7896020651031;20838;Escada Mor de Alumínio 5 Degraus, Uso Doméstico;209.99
7898578153890;19752;Escova Alisadora Mondial EA-07 Preto/Rosê Bivolt;138.28
7898578150080;19866;Escova Modeladora, Mondial, Golden Rose, 70W, Bivolt - Mc-Ju-01;170.2
7908259501404;20915;Escova Secadora Argan Mondial ES-14-BI;0.0
7908259501404;20915;Escova Secadora Argan Mondial ES-14-BI;149.99
7899882315523;18969;Escova Secadora By Juliette Mondial Verde Oliva 1200W Bivolt - ES-JU-02;0.0
7899882315523;18969;Escova Secadora By Juliette Mondial Verde Oliva 1200W Bivolt - ES-JU-02;159.99
7898216290161;17457;Espremedor de Frutas Mondial E01 Turbo Citrus - 25W, 1,25 Litros, 110V;85.09
7898461971549;20967;Exaustor Ventilador Axial Para Churrasqueira Ventisol - 60W, 110V;181.72
7899882302356;16222;Extrator de Frutas Mondial E24 Turbo Premium, 250W, 1,25 Litros, Vermelho/Inox, Bivolt;170.2
7899882311754;17995;Ferro à Seco Mondial FSN-55-B - 1000W, Base de Alumínio, Preto, 110V;81.9
7898578150981;19865;Ferro A Vapor Ceramic Express, Mondial, Branco/Lilás, 1200W, 127V - F-40;159.56
7899882314403;18551;Ferro De Passar A Seco 60hz 127v Fsn-55-bl Azul Mondial;89.99
7899882313703;18575;Ferro de Passar a Vapor Mondial FVN-01 - 1200W, Base Cerâmica, Branco/Azul, 110V;138.28
7899882312171;18554;Ferro Seco 1000W Mondial Fsn55-W Base Aluminio Polido 127V;81.9
7899882313727;18574;Ferro Vapor 1200W Mondial FVN01-O Base Ceramica 127V;79.99
7908853800002;20933;Fogão 4 Bocas Atlas Branco Milão;0.0
7908853800002;20933;Fogão 4 Bocas Atlas Branco Milão;599.99
7908853800019;20931;Fogão 4 Bocas Atlas Preto Milão;0.0
7908853800019;20931;Fogão 4 Bocas Atlas Preto Milão;599.99
7908156904735;18837;Fogão 5 Bocas Mueller Automático Preto Fosco Mfi5bb;1182.78
7908156905824;20601;Fogão 5 Bocas Mueller Mfi5bf Acendimento Automático;1440.84
7908156905787;20598;Fogão À Gás 5 Bocas Mueller, Preto Fosco Mfv5bf;1612.89
7899882310078;17434;Fogão Cooktop 4 Bocas A Gás Mondial Ctg-01 Preto-Inox;531.9
7897180505394;11499;Fogão de Piso Atlas 4 Bocas Coliseum Plus - Mesa de Inox, Preto;0.0
7897180505394;11499;Fogão de Piso Atlas 4 Bocas Coliseum Plus - Mesa de Inox, Preto;614.9
7908156904674;19381;Fogão De Piso Mueller 4 Bocas Mesa Inox Preto Mfi4ba;709.66
7908156903240;18367;Fogão de Piso Mueller 5 Bocas Decorato, Mesa de Inox, Acendimento Automático, Preto Fosco, Bivolt;1720.41
7908156903233;20602;Fogão de Piso Mueller 5 Bocas Decorato Vetro, Mesa de Vidro, Acendimento Automático, Inox, Bivolt;2043.99
7908156903158;18365;Fogão de Piso Mueller 5 Bocas Decorato Vetro, Mesa de Vidro, Acendimento Automático, Preto Fosco, Bivolt;1999.98
7908156904964;19487;Fogão De Piso Mueller 5 Bocas Mesa Esmaltada Titanium Mfi5bc ¿ Bivolt;1139.77
7908156904681;19901;Fogão De Piso Mueller 5 Bocas Mesa Inox Branco Mfi5ba;1043.99
7908156904612;17266;Fogão De Piso Mueller 5 Bocas Mesa Inox Preto Mfi5ba;1043.99
7908156905770;20695;Fogão Mueller 5 Bocas Branco;1612.89
7908156905817;20600;Fogão Mueller 5 Bocas Branco Com Tripla Chama Mfi5bf;1440.84
7908156904704;18874;Fogão Mueller 5 Bocas Mfi5bb;1139.77
7908156904957;19387;Fogão Mueller 5 Bocas Preto Fosco Mfi5bc - Bivolt;1139.77
7908156905794;20599;Fogão Mueller 5 Bocas Titânio Mfv5bf;1612.89
7899882307009;16581;Fone de Ouvido Mondial HP-03, Conexão sem Fio, Microfone, Alças Ajustáveis, Wireless Sound, Grafite;142.55
7908156900546;17265;Forno Elétrico De Bancada Mueller Fratello Vermelho;645.15
7899081701196;20724;Freezer Horizontal Esmaltec 230 Litros ECH250 - Porta Cega, Dupla Ação, Branco, 110V;0.0
7899081701196;20724;Freezer Horizontal Esmaltec 230 Litros ECH250 - Porta Cega, Dupla Ação, Branco, 110V;2549.99
734896674525;20703;Freezer Horizontal Mystic Dupla Função 1 Porta 142L 127V Branco Código: 703665 MYSTIC;0.0
734896674525;20703;Freezer Horizontal Mystic Dupla Função 1 Porta 142L 127V Branco Código: 703665 MYSTIC;1849.99
734896674525;20703;Freezer Horizontal Mystic Dupla Função 1 Porta 142L 127V Branco Código: 703665 MYSTIC;1745.99
734896674532;20704;Freezer Mystic MYFZ201L 199 Litros Horizontal Dupla Funcao Branco 127V;0.0
734896674532;20704;Freezer Mystic MYFZ201L 199 Litros Horizontal Dupla Funcao Branco 127V;2059.99
734896674532;20704;Freezer Mystic MYFZ201L 199 Litros Horizontal Dupla Funcao Branco 127V;1939.99
734896675607;20702;Freezer Mystic MYFZ301L 299 Litros Horizontal Dupla Funcao Branco 127V;0.0
734896675607;20702;Freezer Mystic MYFZ301L 299 Litros Horizontal Dupla Funcao Branco 127V;2669.99
734896675607;20702;Freezer Mystic MYFZ301L 299 Litros Horizontal Dupla Funcao Branco 127V;2512.99
734896675027;19564;Freezer Mystic MYFZ401L 380L 60HZ Horizontal 1 Porta Branco 127V;0.0
734896675027;19564;Freezer Mystic MYFZ401L 380L 60HZ Horizontal 1 Porta Branco 127V;3419.99
734896675027;19564;Freezer Mystic MYFZ401L 380L 60HZ Horizontal 1 Porta Branco 127V;3199.99
7909569458990;20621;Frigideira Aço Inox Antiaderente Electrolux 20Cm Visite A Loja Electrolux;148.92
7909569362808;20641;Frigideira Inox Com Revestimento Antiaderente 24Cm;191.47
3045387246334;19012;Fritadeira Air Fryer Arno Ultra UFRP - 4,2 Litros, 1620W, Preto, 110V;531.9
7899882315721;19021;Fritadeira  Air Fryer  Mondial AFN-40-BFS - 4 Litros Preto 110V;0.0
7899882315721;19021;Fritadeira  Air Fryer  Mondial AFN-40-BFS - 4 Litros Preto 110V;299.99
7899882312232;17994;Fritadeira Air Fryer Mondial AFN-50-RI 5 Litros 1900W Vermelho/Inox, 110V;499.98
7899882316698;20644;Fritadeira Sem Óleo Air Fryer Digital 4L, Mondial, Preto, 1500W, 110V - Afn-40-Di;531.9
7899882316377;19599;Fritadeira sem Óleo Mondial Air Fryer AFD-01-BI | 8 Litros, 2 Cestos, Preto/Inox, 110V;1059.99
7908259504368;19201;Furadeira Com Impacto, Mondial, Laranja, 550W, 110V - Fi-Rh-02;244.67
7908259504344;18561;Furadeira Com Impacto, Mondial, Laranja, 650W, 110V - Fi-Rh-01M;361.69
7898490166930;18965;Furadeira De Impacto Com Maleta, Mondial, Vermelho, 650W, 110V - Nffi-07M;276.58
7898490166749;18964;Furadeira De Impacto, Mondial, Vermelho, 650W, 220V - Nffi-07;286.17
7898490161942;18963;Furadeira De Impacto, Mondial, Vermelho, 750W, 110V - Ffi-05;319.13
7908259503477;19202;Furadeira Parafusadeira De Impacto 3/8 A Bateria 12V Com Maleta E Acessórios - Pi-10Ma - Mondial;361.7
734896675645;20604;Geladeira Duplex Mystic 211L Cycle Defrost Branco 127V - MY-RF208BR;2199.99
734896675652;20664;Geladeira Mystic Dual Inverter Frost Free Duplex 255L Inox 127v MY-RF-N268LSSBR;2599.99
734896676246;20665;Geladeira Mystic Frost Free Dual Inverter Duplex 255L Inox Mate 127v MY-RF-N268DSSBR;2599.99
7899081731353;15004;Geladeira/Refrigerador Esmaltec, 306 Litros, RCD38, Cycle Defrost, 2 Portas, Branco 110V;0.0
7899081731353;15004;Geladeira/Refrigerador Esmaltec, 306 Litros, RCD38, Cycle Defrost, 2 Portas, Branco 110V;2385.0
7899081731353;15004;Geladeira/Refrigerador Esmaltec, 306 Litros, RCD38, Cycle Defrost, 2 Portas, Branco 110V;2250.0
734896675669;20663;Geladeira/Refrigerador Mystic Frost Free Duplex Inverter 358 Litros Inox 127V;3180.0
7898578153739;19614;Grill Mondial PG-01-180 Master Press Duo - 1000W, Revestimento Antiaderente, Preto/Inox, 110V;308.5
7893455137581;20052;Guarda-Roupa 2 Portas Carraro Vivacce Freijó C/ Off White 839 C/ Espelho;1191.47
7895183048979;20739;Guarda-Roupa Capelinha Pérsia;851.05
7893455115053;19302;Guarda Roupa Casal Com Espelho 4 Portas Roma Carraro Freijó C/Off White;776.58
7895183040324;20756;Guarda-Roupa Casal Flash Ii;744.67
7895183077641;20757;Guarda-Roupa Casal Flash Ii;744.67
7895183092033;20758;Guarda-Roupa Casal Flash Ii;744.67
7895183061480;20740;Guarda-Roupa Casal Guarujá;1382.96
7893455117156;19301;Guarda Roupa Solteiro 4 Portas E 3 Gavetas C/ Espelho Roma 1181 C/ Pés Freijo - Carraro;776.58
20000001019812;1985819000;Kit Antena E Receptor Vivensis Parabólica 75 Cm Banda Ku E 5G Externa;274.99
7896347176538;20729;Kit Rolos De Sacos Para Seladoras A Vácuo - 02 Unidades;63.81
7896664698157;19793;Lavadora De Roupa Automática Mueller 15Kg Ultracentrifugação E Ciclo Rápido Branca Mla15 ¿ 127 Volts;2354.82
7896664698171;19889;Lavadora De Roupa Automática Mueller 17Kg Com Ultracentrifugação E Ciclo Rápido Branca Mla17 ¿ 127 Volts;2784.93
7896664602338;14932;Lavadora De Roupas Mueller Energy 8Kg ¿ 127 Volts;1612.9
7896664697631;17268;Lavadora De Roupas Semiautomática Mueller Family Lite 10 Kg Branca ¿ 127 Volts;535.99
7896664697495;16929;Lavadora Tanquinho Big 14Kg 127V Branca Mueller;644.08
7896664697525;16930;Lavadora Tanquinho Big 14Kg 127V Preta Mueller;644.08
7899882317183;20326;Liquidificador 2,2L Mondial Pratic Power 550W Branco 127V;135.4
7895500765312;20307;Liquidificador Arno 3,1 Litros Powermax Com 6 Laminas 1400W Vermelho Ln63 - 127V;234.03
7895500762748;19812;Liquidificador Arno LN78 Power Max - Copo SAN Cristal, 15 Velocidades + Pulsar, 1200W, Preto, 110V;255.3
7895500742245;16893;Liquidificador Arno LQ10, Power Mix - Copo de Plástico, 2 Velocidades + Pulsar, 550W, Preto, 110V;0.0
7895500742245;16893;Liquidificador Arno LQ10, Power Mix - Copo de Plástico, 2 Velocidades + Pulsar, 550W, Preto, 110V;119.99
7895500742269;17284;Liquidificador Arno LQ11 Power Mix - Copo de Plástico 2 Velocidades + Pulsar 550W Vermelho 110V;121.26
7895500742283;16949;Liquidificador Arno LQ12 Power Mix - Copo de Plástico 2 Velocidades + Pulsar 550W Branco 110V;0.0
7895500742283;16949;Liquidificador Arno LQ12 Power Mix - Copo de Plástico 2 Velocidades + Pulsar 550W Branco 110V;119.99
7895500763226;19811;Liquidificador Arno Power Mix Limpa Fácil 700W 1,4L Preto Lq35;212.75
7895500763240;19810;Liquidificador Arno Power Mix Limpa Fácil 700W 1,4L Vermelho Lq36;212.74
7896443140013;19490;Liquidificador Mallory Fast Mix Copo de Polipropileno - 2 Velocidades +Pulsar, 600W, Branco, 110V;0.0
7896443140013;19490;Liquidificador Mallory Fast Mix Copo de Polipropileno - 2 Velocidades +Pulsar, 600W, Branco, 110V;105.99
7896443139680;18953;Liquidificador Mallory Fast Mix - Copo Polipropileno, 2 Velocidades + Pulsar, 600W, Preto, 110V;0.0
7896443139680;18953;Liquidificador Mallory Fast Mix - Copo Polipropileno, 2 Velocidades + Pulsar, 600W, Preto, 110V;105.99
7899882317688;20327;Liquidificador Mondial 2,2 Litros 550W 127V Preto L-98-B;138.28
7899882311358;19870;Liquidificador Mondial L-1100BI 3L, 12 Velocidades+Pulsar, 1100W, Preto/Inox 110V;191.47
7899882311372;19592;Liquidificador Mondial L-1100RI 3L, 12 Velocidades+Pulsar, 1100W, Vermelho/Inox, 110V;191.47
7899882316315;19598;Liquidificador Mondial L-1400GI - Turbo Glass, 1400W, Jarra de Vidro, Preto/Inox, 110V;351.05
7899882314274;18805;Liquidificador Mondial L-550, 550W, Copo Leitoso, Vermelho, 110V;117.01
7899882312751;18549;Liquidificador Mondial L-550 - Copo Leitoso, 2 Velocidades + Pulsar, 550W, Branco, 110V;117.01
7899882305807;20898;Liquidificador Mondial L-900 com Filtro - Copo de Acrílico, 5 Velocidades + Pulsar, 900W, Preto, 110V;170.2
7898216296019;17197;Liquidificador Mondial NL-26 Power, Copo de Plástico, 2 Velocidades + Pulsar, 500W, Branco, 110V;117.1
7898216296897;17628;Liquidificador Power 2 Black, Mondial, Preto/Prata, 550W, 110V - L-28;0.0
7898216296897;17628;Liquidificador Power 2 Black, Mondial, Preto/Prata, 550W, 110V - L-28;106.99
7899882304015;20344;Liquidificador Power Filter, Mondial, Vermelho, 550W, 110V - L-77;117.01
7896347160063;20617;Lunch Box Electrolux Verde com Tampa Easy-Open;74.45
7896347160070;20616;Lunch Box Preta Electrolux                                                                                                                            ;36.15
7896347160056;20618;Lunch Box Vermelha Electrolux                                                                                                                         ;36.15
7898578154170;20303;Máquina De Gelo Mondial MG-12-GI - Cinza, 110V;988.29
7898578150547;18572;Max Grill, Mondial, Preto/Inox, 1200W, 110V - G-07;329.77
7893455023259;19320;Mesa Lateral Madeirada Sala De Estar E Tubos Preto Fosco Carraro;319.13
7898580991237;19738;Mesa Plástica Mor Azul;71.0
7898580991220;19739;Mesa plástica Mor Vermelha;0.0
7898580991220;19739;Mesa plástica Mor Vermelha;89.99
7899882313352;18820;Micro-ondas Mondial 21 Litros MO-01-21-W - 1200W, Função Descongelar, Branco, 110V;595.73
7899882313376;18822;Micro-Ondas Mondial 34 Litros Mo-02-34-E Inox;629.99
7899882313390;18821;Micro-ondas Mondial 34 Litros MO-02-34-W - 1400W, Função Descongelar, Branco, 110V;734.03
7898578150073;19867;Modelador De Cachos By Juliette, Mondial, Verde Oliva, 70W;170.2
7908259500285;17440;Mouse Com Fio Movitec - Omfc-01;9.56
7908259500964;17446;Mouse Gamer Xzone GMF03 USB Ergonômico LED 3200dpi RGB Preto;95.73
7899882314342;18809;Multi Processador 1000W 3L Mondial Mpn01 Be Turbo Chef 7 Em 1 127V;499.98
7909567494518;20627;Organizador De Geladeira Electrolux Experience 1,5L Com Escorredor, Tampa Hermética, Bpa Free, Ideal Para Frutas, Legume;26.58
7909569474532;20629;Organizador De Geladeira Electrolux Experience 2,3L Com Cesto Escorredor Tampa Hermética, Bpa Free, Ideal Para Frutas;45.73
7909569474525;20625;Organizador De Geladeira Electrolux Experience 2,3L Com Escorredor Tampa Hermética, Bpa Free, Ideal Para Frutas;45.73
79082595042387;19203;Parafusadeira E Furadeira 12V Com Maleta Mondial - Pi-12Ma Parafusadeira E Furadeira Com Impacto Pi-12Ma Bivolt;351.05
7895183056202;20764;Penteadeira Camarim Atraente;489.35
7909569474563;20633;Pote Hermético Electrolux Experience 1,75L Organizador;31.9
7909569474549;20630;Pote Hermético Organizador Electrolux Experience Empilhável Modular 0,6L;26.58
7909569474570;20632;Pote Hermético Organizador Electrolux Experience Empilhável Modular 2,5L;45.73
7909569474501;20624;Pote Transparente E Azul 0,7L 9X10x10,9Cm Experience Electrolux;20.2
7909569474556;20631;Pote Transparente E Azul 0,85L 9,6X9,5X14,3Cm Experience Modular Electrolux;24.45
7909569474990;20628;Pote Transparente E Azul 5L Experience Com Cesto Escorredor Electrolux;67.01
7899882315578;18973;Prancha Alisadora, Mondial, Golden Rose, 60W, Bivolt - P-Ju-01;212.75
7898578151896;19612;Prancha Alisadora Mondial Quatro Elementos By Juliette 60W P-Ju-02;138.28
7899882315585;18974;Prancha Alisadora, Mondial, Verde, 60W, Bivolt - P-Ju-02;212.75
7898578150820;20894;Prancha Alisadora Tourmaline Ceramic, Mondial, Preto, 30W, Bivolt - P-15;104.29
7898578153449;19609;Prancha Mondial Alisadora Tourmaline Ceramic P-01-Ir;137.23
6941764444652;20801;Realme Note 60 Dual SIM 128 GB 4 GB RAM Preto;0.0
6941764444652;20801;Realme Note 60 Dual SIM 128 GB 4 GB RAM Preto;859.99
7893455119129;20855;Roupeiro Carraro, 6 Port, 2 Gav, Mdp Noc Lin Noc;881.91
20000001242499;2004520046;Roupeiro Magnum 1175, Freijó C/ Avelã, 2 Port. / 4 Gav, Mdp Alt: 2240 Mm / 2370 Mm / 525 Mm;2234.02
7893455122990;19688;Roupeiro Roma Capelinha 4P 3Gav (118132840) Mdp Avela Lin Off C Esp (Carraro);776.58
20000001242508;1922019729;Roupeiro Troy Carraro, Branco / 6 Portas, E 3 Gavetas /Alt: 206Cm Larg:180Cm P: 46,5Cm;1168.08
7898578150028;19606;Sanduicheira Grill Mondial S-13 Ultra - Antiaderente, 750W, Preto, 110V;77.64
7899882312997;18982;Sanduicheira/Grill Mondial SN-01, Antiaderente, 750W, Preto, 110V;89.99
7893455856697;19694;Sapateira 2 Portas Com Espelho Carraro Branco;499.98
7898578151223;20897;Secador Cabelo 1200W Mondial Travel Bivolt;105.31
7898578154484;20299;Secador De Cabelo By Juliette Mondial, Bivolt Cabo Dobravel, Sct-Ju-03, Azul/Rosa;115.95
7898578153418;19617;Secador de Cabelo Mondial SCP-01 InfraRed - com 2 Velocidades, 3 Temperaturas, 2000W, Azul/Golden Rose, 110V;212.75
7896347166874;20620;Seladora A Vácuo Electrolux Portátil Branca Silenciosa;276.58
7908259504399;18560;Serra Tico Tico Mondial 450W 127V Laranja - St-Rh-01;276.58
7908259500797;19204;Serra Tico-Tico, Mondial, Vermelho, 450W, 110V - Fst-03;232.97
6941764435056;20797;Smartphone Realme C63 6/128GB Jade Green;0.0
6941764435056;20797;Smartphone Realme C63 6/128GB Jade Green;1059.99
6941764435049;20798;Smartphone Realme C63 6/128GB Leather Blue;0.0
6941764435049;20798;Smartphone Realme C63 6/128GB Leather Blue;1059.99
6941764435070;20799;Smartphone REALME C63 8/256GB Green;0.0
6941764435070;20799;Smartphone REALME C63 8/256GB Green;1289.99
6941764455665;20849;"Smartphone Realme Note 60S 128GB Preto Tela 6.74"" Câmera 32MP 4GB RAM";0.0
6941764455665;20849;"Smartphone Realme Note 60S 128GB Preto Tela 6.74"" Câmera 32MP 4GB RAM";879.99
6941764455689;20848;Smartphone Realme Note 60s 128GB Verde 4GB RAM;0.0
6941764455689;20848;Smartphone Realme Note 60s 128GB Verde 4GB RAM;879.99
7891356123825;20820;Smart Tv 43 Philco Android Tv Full Hd Borda Infinita;0.0
7891356123825;20820;Smart Tv 43 Philco Android Tv Full Hd Borda Infinita;1799.99
7891356123160;20818;Smart Tv 58 Philco Led 4k Google Tv Hdr10 P58kga;0.0
7891356123160;20818;Smart Tv 58 Philco Led 4k Google Tv Hdr10 P58kga;2599.99
